Username,Comment,Likes
fossbosss,I love how he looks the exact same as he does now 😭,0
alyssaabrnr,OMG SO CUTEEEE,0
sunyoo.hu,"32,333 likes",0
yaerin.3,"13,808 likes",0
marim.raposo,Dude smiling because he got it right😭✌,0
king.j03l,“Domiciled with the 5”,0
gogetgriff,"4,309 likes",0
_rawhitonlyfans_,"Isn't it ""Domicile"" ? Or am i trippin?",0
dariusddavidson,"clipper ""idk what to post now so""",0
chlo_chlo_butter,so cute 😭,0
jennymclove_,👏👏👏 🫶🏻❤️,0
1ts_lloyd,Dude didn’t know what to post,0
yoitsdiego11,Domicile with the 50 gifted 🔥,0
flyyassdboy,😭😭,0
kyl.tlntno,THIS IS MY PRIVATE DOMICILE AND I WILL NOT BE HARASSED,0
trulyy.ian,why u wasnt wearing a sheisty??? aint u from the streets of arlington where ninjas dont even get to turn old?,0
0shen.wav,@kk.t111 domicile is a noun…..the verb and all other variations are spelled with an I. Listen I’m not even that mad about a 7 year old misspelling a word. but I’m getting more shocked at how many fully functioning instagram users are trying to correct me 😂,0
@kk.t111,@kk.t111 domicile is a noun…..the verb and all other variations are spelled with an I. Listen I’m not even that mad about a 7 year old misspelling a word. but I’m getting more shocked at how many fully functioning instagram users are trying to correct me 😂,0
slayrizz,Awwwwwwww,0
_.alcaraz_,the bell means he got it wrong btw. in spelling bees if it’s right they say « that is correct »,0
welvnolano,How u even find ts,0
anthonysessa23,that’s a first round word 😭,0
dmv_amen0517,I Dont even know that word,0
mav67kid,"6,186 likes",0
green_flag_gentleman,The day bro knew there's level to this shit,0
adhrit.anr,Well🇨🇳Well🥢Well🐍,0
nicooooooo457,AISD MENTIONED🗣️🗣️🗣️🔥🔥🔥🔥🔥🔥🔥,0
kurt_c0bain67,Why is he the only white person there,0
fazzaplayss,Domicile with the 50 gifted 🔥,0
monke_1983,Where did that iq go?,0
jonml_qq,@chasermixer it’s you,0
@chasermixer,@chasermixer it’s you,0
saydullo5836,Bro looks familiar,0
chrisbackactiveyouknow,either win or bta😭,0
david650099,Wait so did he get it right,0
x_aaru_x,So many moments from subathon posted none and yet this post truly marvellous 🫵🤨🙏,0
